,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Winner
234,-3,55,9,75,9,15,1,0
235,80,33,-7,43,-7,30,0,0
236,25,16,-10,2,0,-3,0,1
237,4,-44,-5,-7,-25,-73,-1,1
238,0,-30,5,0,-45,40,0,0
239,5,35,20,-40,-70,-60,0,1
240,-11,25,77,-34,33,-7,0,1
241,60,150,128,100,38,25,1,0
242,-22,-13,-25,-25,-21,-14,0,1
243,-10,19,35,24,55,11,0,0
244,-28,0,5,80,35,8,1,0
245,34,-66,-34,38,36,-42,0,1
246,10,10,-55,15,25,60,0,0
247,-25,5,-45,-25,50,30,0,0
248,45,60,23,32,65,45,0,0
249,80,10,-80,60,40,40,1,0
250,-70,-130,-78,-30,-58,-35,-1,1
251,55,10,80,30,100,5,0,0
252,10,23,18,-2,18,-21,0,1
253,14,0,-20,-5,-30,36,0,0
254,-47,-36,-74,-34,-24,4,0,0
255,4,18,19,5,70,19,0,0
256,15,25,50,-5,65,0,0,1
257,35,60,40,-5,40,30,0,0
258,-154,17,-8,32,2,11,0,0
259,-34,-50,-60,-134,-60,-105,-1,1
260,-66,-155,-70,-134,-80,-80,-1,1
261,56,52,25,89,25,88,0,0
262,40,0,35,60,20,-70,0,0
263,-37,-45,-11,15,-11,-45,0,1
264,-33,-33,-18,-20,-38,15,0,0
265,1,6,33,-51,-21,-69,0,1
266,9,-30,-15,10,15,11,1,0
267,10,-25,42,-85,-5,-67,0,1
268,-5,-20,-20,10,-10,0,-1,1
269,40,65,28,0,65,-8,0,1
270,35,15,15,35,45,35,0,0
271,10,5,-27,-55,-22,-46,0,1
272,-30,-45,47,-45,-23,16,-1,0
273,-18,71,69,-7,-37,1,0,0
274,-10,-24,-17,-69,-30,-59,0,1
275,44,22,69,3,43,14,1,0
276,30,-15,-10,-40,-35,-90,-1,1
277,-52,-25,-25,25,15,10,0,0
278,55,119,115,75,90,51,0,0
279,37,45,15,-2,10,0,0,1
280,-15,10,-10,-55,-10,-20,-1,1
281,12,5,14,-5,-16,-45,0,1
282,27,40,50,70,98,9,0,0
283,18,37,18,-28,13,-32,0,1
284,-20,0,-35,25,15,10,0,0
285,61,100,15,119,55,110,1,0
286,-30,-10,50,-10,-90,0,0,1
287,15,-25,40,-20,-5,-30,0,1
288,10,85,180,-70,35,0,0,1
289,20,15,0,-115,-40,-40,0,1
290,2,-33,5,-13,50,-18,0,1
291,-35,-47,-15,60,35,-2,0,1
292,-45,25,20,-40,-50,-40,0,1
293,-70,-90,-20,12,-5,-28,0,1
294,40,23,-105,0,-105,-35,-1,1
295,23,30,12,-43,29,-41,0,1
296,26,15,5,62,12,41,0,0
297,6,-10,-35,-43,-38,-44,0,1
298,65,11,13,41,21,-3,0,1
299,35,32,40,60,62,18,0,0
300,-12,-15,35,-28,-7,5,0,0
301,56,27,-70,99,45,38,0,0
302,15,-10,47,-87,-10,-91,0,1
303,0,14,35,-11,25,-34,0,1
304,-80,10,10,10,-5,120,1,0
305,15,7,9,34,20,44,0,0
306,30,35,-37,-45,-37,9,0,0
307,15,70,60,25,15,25,0,0
308,27,84,32,9,39,110,0,0
309,-28,-125,1,10,-39,-120,0,1
310,5,-25,5,15,40,10,0,0
311,-63,23,13,-19,-7,42,0,0
312,36,7,32,29,67,10,0,0
313,15,30,25,10,20,-90,0,0
314,-42,-25,-25,1,-41,-13,0,1
315,30,165,55,87,45,106,1,0
316,-6,-15,-5,-51,-32,-21,0,1
317,11,34,11,39,6,-7,0,1
318,40,42,30,25,30,12,0,0
319,0,4,-10,-63,-10,-57,0,1
320,-32,-69,-60,-99,-80,-60,-1,1
321,0,0,27,-25,27,-14,0,1
322,15,-5,25,60,30,-15,1,1
323,4,30,-5,28,-2,-11,0,1
324,10,11,-5,-54,-25,-2,0,1
325,6,54,-28,14,-36,45,0,0
326,35,95,80,60,20,70,0,0
327,39,70,93,5,28,-21,0,1
328,35,35,10,105,30,85,0,0
329,5,30,14,-26,-2,13,0,0
330,48,-21,9,1,29,-43,0,1
331,-15,30,51,50,46,-20,0,1
332,-45,-43,-35,-23,-45,-12,0,1
333,-7,31,40,68,27,79,1,0
334,32,65,12,-42,-94,5,0,0
335,5,5,12,-17,-21,-4,0,1
336,-15,-45,0,-40,-35,60,-1,1
337,-40,53,43,53,38,81,0,0
338,-25,-15,-11,-12,-20,14,0,0
339,0,-15,5,34,9,-5,0,1
340,-14,15,-10,45,10,34,0,0
341,10,-68,-5,-38,5,-40,0,1
342,22,33,30,-6,-15,-44,0,1
343,66,71,35,71,38,39,1,0
344,4,-17,-3,47,15,-18,0,1
345,-19,-97,-82,-63,-28,-86,0,1
346,-26,-95,-18,-94,-18,-55,-1,1
347,-15,3,-105,51,33,42,0,0
348,55,30,55,35,35,-25,0,1
349,22,-2,25,31,35,25,0,0
350,-10,34,45,29,10,-63,0,1
351,30,-55,-40,0,0,-5,0,1
352,-15,25,35,-45,-5,-60,0,1
353,-12,-23,-25,-52,-25,-32,0,1
354,41,-34,0,52,30,-7,0,1
355,-26,-57,-32,-60,-50,-70,0,1
356,-54,-20,-37,-88,-88,-40,0,1
357,5,-4,5,-4,-20,-1,0,1
358,-48,-25,68,-22,49,27,1,0
359,17,-18,-61,7,64,76,1,0
360,-5,29,5,39,-5,2,0,0
361,35,5,68,10,-35,-43,0,1
362,35,10,0,-50,35,50,0,0
363,43,56,-25,56,10,20,0,0
364,9,3,20,-25,0,-2,0,1
365,10,-26,30,14,40,-54,0,1
366,-30,-50,0,10,20,0,0,1
367,14,44,14,34,64,-5,1,1
368,5,-50,0,-15,-25,-25,0,1
369,-70,-76,-80,-36,-36,10,0,0
370,-25,-20,-100,0,-30,-40,0,1
371,-24,10,-27,2,-18,22,0,0
372,-15,-10,-116,-30,-106,-35,-1,1
373,-19,-37,2,-50,-18,-63,0,1
374,0,-71,-49,21,-51,-40,0,1
375,-32,-22,-42,-35,-40,-34,0,1
376,62,139,120,100,25,25,1,0
377,-70,-120,-80,-65,-80,-40,0,1
378,-45,-52,-5,-97,-68,-2,0,1
379,20,-10,0,40,35,0,1,1
380,-60,-20,0,-70,-40,-35,-1,1
381,-1,13,-11,36,54,7,0,0
382,-10,5,-10,4,10,-13,0,1
383,-15,-10,-15,50,25,5,0,0
384,-75,-55,-26,-126,-52,-52,-1,1
385,-50,5,-5,50,40,20,0,0
386,3,20,18,-30,18,2,0,0
387,10,-3,-22,45,45,5,0,0
388,25,32,15,70,5,14,0,0
389,-40,-75,-90,-10,-20,35,-1,0
390,15,20,30,-20,-20,-65,0,1
391,-26,-22,-36,-49,4,-48,0,1
392,10,15,15,-10,10,-10,0,1
393,-16,53,-20,-4,-20,7,1,0
394,-5,-5,-25,-95,-30,85,0,0
395,36,-20,10,27,15,-66,0,1
396,24,50,106,5,-5,-20,0,1
397,34,28,33,-53,27,21,0,0
398,9,17,13,-44,-1,-71,0,0
399,12,-15,-62,46,2,-43,0,1
400,-5,35,25,-30,-10,-30,0,1
401,24,9,35,14,45,-8,0,1
402,1,35,0,-40,-10,35,0,0
403,15,65,92,18,-5,44,0,0
404,-40,-45,-55,40,0,25,0,1
405,-11,-13,12,49,49,29,0,0
406,0,-79,-53,-10,-3,53,0,1
407,11,2,25,49,-30,8,0,0
408,37,75,62,-57,-99,-35,0,0
409,-46,-64,-12,11,16,-30,0,1
410,-30,-65,-50,-61,-27,-62,0,1
411,-45,-100,-100,-60,-50,-15,-1,1
412,40,-40,10,-100,-50,-60,-1,1
413,-39,60,15,-10,-20,10,0,0
414,-65,-87,-142,-14,-4,42,0,1
415,45,-7,-6,-10,7,-42,0,1
416,6,-16,0,36,25,94,0,0
417,-3,65,-30,-57,-48,-27,0,1
418,-7,-18,30,9,33,-49,0,0
419,60,90,30,0,30,35,0,0
420,66,85,50,75,119,34,1,0
421,-11,-31,-46,29,44,14,0,0
422,0,1,-21,19,31,20,0,0
423,-25,-12,-27,13,-27,41,0,0
424,-50,-25,-30,-65,-30,-52,-1,1
425,-46,29,-47,-50,-35,18,0,0
426,-35,-21,9,-35,5,-100,0,1
427,45,65,10,-45,-20,-70,0,0
428,-15,-7,4,-60,-5,-74,0,1
429,5,30,-5,30,-20,10,0,0
430,-24,-35,-50,-70,0,-26,-1,1
431,35,60,70,35,30,65,0,0
432,-35,-90,-29,100,-35,49,0,0
433,30,-8,2,-5,0,-24,0,1
434,25,10,21,85,51,35,0,0
435,20,30,-45,-5,-15,0,0,1
436,-52,5,-45,-50,-45,5,0,0
437,-4,-16,-30,-4,-15,34,0,1
438,-50,-32,-134,11,4,37,0,0
439,11,-3,17,-6,67,15,0,0
440,-15,-35,15,-90,-45,-75,0,1
441,-25,0,70,10,15,-63,0,1
442,33,32,22,9,4,81,0,0
443,-15,-35,-65,60,30,10,0,0
444,-20,-68,20,-18,-50,-46,0,1
445,10,-40,20,-25,20,10,0,0
446,3,32,-1,-24,8,11,0,0
447,15,5,-45,60,30,5,0,0
448,26,9,80,31,95,4,1,0
449,15,-10,10,50,30,5,1,0
450,-25,-15,-5,10,-35,60,0,0
451,29,76,25,60,15,55,0,0
452,183,-52,-50,-42,50,-64,0,1
453,25,10,40,40,40,35,1,0
454,-25,25,5,35,5,26,0,0
455,-39,-45,-50,-80,-60,-36,-1,1
456,9,19,6,19,-4,26,0,0
457,-39,-71,-18,3,-17,-11,0,1
458,65,65,60,65,45,50,1,0
459,-25,0,0,40,70,10,0,0
460,-18,13,-56,-7,-11,17,0,0
461,5,-60,30,20,30,10,1,0
462,-15,-40,-10,-25,-15,-55,0,1
463,-70,-90,-35,-15,55,0,0,1
464,-5,-5,2,-5,-13,20,0,0
465,25,-11,-11,-88,-54,-16,0,1
466,46,40,74,15,7,78,1,0
467,14,13,-55,-27,-55,-5,0,1
468,13,56,-36,11,-51,12,0,0
469,-76,-52,33,-12,0,-68,0,1
470,10,13,10,28,35,20,0,0
471,-75,10,-35,-70,-80,5,0,0
472,-60,-55,-60,-70,-80,-25,-1,1
473,60,-5,5,15,55,50,0,0
474,-11,3,18,-15,-2,-2,0,1
475,0,3,-8,-9,-9,3,0,0
476,26,33,27,15,20,-25,0,1
477,15,25,-15,45,-15,15,1,0
478,-29,-28,-3,-35,-5,-15,0,1
479,-15,-15,-30,-37,-63,-14,0,1
480,39,37,39,46,36,15,0,0
481,10,-36,-15,0,-5,-49,0,1
482,36,22,65,45,17,77,1,0
483,-51,-11,-42,-36,-52,-18,0,1
484,32,26,27,45,25,20,1,0
485,34,-21,-15,17,28,11,0,0
486,-45,-54,10,-25,-40,-52,0,1
487,10,110,25,55,15,0,0,1
488,2,20,17,103,78,48,0,0
489,10,95,50,25,70,68,0,0
490,-18,-15,-20,-5,15,-11,0,1
491,0,30,116,41,-3,27,0,0
492,-45,-35,-55,-65,-55,30,0,0
493,15,35,15,20,10,10,0,0
494,0,5,10,-30,25,20,0,0
495,45,85,3,15,3,9,0,0
496,20,30,20,0,0,45,0,0
497,-32,-60,-31,-60,-50,-42,0,1
498,40,25,-65,65,-60,5,0,0
499,10,-20,20,20,25,15,1,0
500,0,-25,-61,0,2,14,0,1
501,-16,20,100,-65,-31,-60,0,1
502,65,50,19,45,105,31,0,0
503,50,96,-5,66,25,63,1,0
504,27,95,10,-25,0,-27,0,1
505,-25,-78,-23,-78,-23,-81,0,1
506,190,-55,-55,25,85,-35,0,1
507,14,56,5,50,15,55,1,0
508,-25,-45,-30,-5,-30,15,0,0
509,21,140,75,5,65,44,0,0
510,-78,-90,-25,-10,-60,-42,0,1
511,35,-10,5,10,10,-25,0,1
512,-40,-45,-45,-25,-40,-20,0,1
513,20,45,45,-45,-55,-70,0,0
514,25,20,136,11,17,-13,0,1
515,-13,20,-5,0,-20,-7,0,1
516,-24,-33,-40,-115,-65,37,0,0
517,22,40,18,25,15,15,0,0
518,30,28,-5,43,10,-21,0,1
519,18,90,20,0,50,60,0,1
520,15,-15,-5,65,15,65,0,0
521,-5,25,-20,-10,-20,-20,0,1
522,21,-15,20,25,60,-21,0,1
523,-30,15,10,15,10,100,1,0
524,55,95,25,70,10,45,0,0
525,-55,-90,-108,-50,-58,-14,-1,1
526,-14,-58,-24,21,-44,34,0,0
527,-72,-125,-95,-75,-65,-50,-1,1
528,2,20,25,20,75,-2,0,1
529,70,88,35,-20,-5,-40,0,0
530,85,40,50,15,45,50,1,1
531,10,-5,15,-10,10,-30,0,1
532,-32,6,-11,-44,-29,-69,0,1
533,-5,35,5,60,20,20,0,0
534,50,15,35,40,10,-65,0,1
535,-55,-60,-40,-60,-25,-50,-1,1
536,-15,-75,-75,-110,-40,-50,-1,1
537,11,18,-57,45,-61,19,0,0
538,19,-4,15,10,10,10,0,0
539,0,0,20,-35,-15,-15,0,1
540,26,42,26,29,-14,43,0,0
541,5,35,50,20,0,-25,0,1
542,85,35,40,30,30,-10,0,1
543,3,40,57,-28,61,-14,0,1
544,20,-2,0,95,45,47,0,0
545,9,24,10,-5,10,-40,0,1
546,-37,-60,-25,-90,-45,-13,-1,1
547,38,29,68,31,22,-13,0,1
548,-45,-20,22,40,42,51,0,0
549,18,58,68,45,48,5,0,0
550,35,40,30,-20,10,0,0,1
551,-65,-41,15,-111,-15,-59,-1,1
552,-18,-45,-62,-70,-36,-40,0,1
553,-50,-35,-30,-75,-20,0,0,1
554,-10,-27,5,-37,-35,-25,0,1
555,-55,27,12,-16,-6,-17,0,0
556,-15,10,5,-65,-35,-30,0,1
557,-6,-15,2,-2,13,-2,0,1
558,-25,-74,-131,-1,7,12,0,0
559,80,124,135,60,85,11,0,0
560,65,25,-20,25,-15,0,0,1
561,-32,-45,-21,15,-32,-30,0,1
562,20,10,5,35,-10,25,0,0
563,-5,-5,95,-35,95,20,0,0
564,-10,-21,-10,-5,0,-84,0,1
565,-8,-57,5,-40,25,-13,0,1
566,-41,-10,-5,-42,8,-1,0,1
567,-5,25,5,-5,-5,45,0,0
568,27,-13,-75,17,-75,89,0,0
569,-10,-13,-1,-1,31,69,0,0
570,-60,-50,-45,-105,-45,-85,-1,1
571,5,5,5,80,20,39,0,1
572,30,24,30,25,30,21,0,0
573,10,-10,5,-95,45,-80,0,1
574,4,13,35,30,44,-7,0,1
575,-40,-130,-90,-70,-10,50,-1,1
576,-40,-21,-19,20,-10,-15,0,1
577,5,20,-25,30,-45,0,0,1
578,-15,-25,-24,26,1,7,0,0
579,-48,-57,-77,-4,-30,6,0,0
580,10,25,10,55,0,-5,0,1
581,-10,-30,5,5,15,-17,0,1
582,20,-20,15,30,85,60,1,0
583,-10,-34,30,45,-25,24,0,0
584,1,-43,-78,-18,-10,37,0,0
585,85,80,55,75,35,5,0,0
586,-20,-56,-15,-21,-5,-89,0,1
587,54,60,30,35,20,51,0,0
588,-29,4,42,-46,-18,-33,0,1
589,200,-35,-35,50,110,40,0,1
590,-8,35,34,-5,65,34,0,0
591,41,75,38,23,48,-30,0,1
592,6,27,10,-15,10,-35,0,1
593,-106,35,70,5,4,-30,0,1
594,-5,-10,-15,66,42,32,0,0
595,18,100,35,30,-65,5,0,0
596,5,-5,-5,10,-15,5,0,0
597,55,-34,55,95,55,14,0,0
598,-51,-65,-78,-108,-63,-5,-1,1
599,41,70,10,105,41,55,1,0
600,-20,-65,-30,-110,-50,-95,0,1
601,-30,5,-30,-35,-5,-45,-1,1
602,-30,-30,30,-20,-30,-65,0,1
603,-30,-40,-65,-20,-10,-10,0,1
604,50,15,-25,10,-15,-50,0,1
605,-35,-24,-63,10,-43,35,0,0
606,43,20,9,20,13,25,1,0
607,-30,-45,-40,-75,-45,45,0,0
608,26,54,9,64,9,43,0,0
609,-15,-15,-35,-5,-35,15,0,0
610,-40,-55,-48,-55,-48,26,0,0
611,-50,-40,-21,-20,-27,-31,0,1
612,-22,-5,-105,-35,-105,-8,-1,1
613,-5,-20,-13,60,40,-10,0,1
614,-36,-2,15,-45,-50,-2,0,1
615,-29,-19,-40,-73,-36,-64,0,1
616,-10,10,-10,5,5,-20,0,1
617,-20,-65,-25,-70,40,-35,0,1
618,15,-11,-25,20,20,11,0,0
619,-10,20,9,-30,-6,-13,0,1
620,-21,8,8,-44,-34,61,0,0
621,-44,-64,-50,25,-30,10,0,0
622,-40,10,-25,-50,-55,30,0,0
623,-15,-5,-30,35,-35,-20,0,1
624,40,75,39,60,44,14,0,0
625,-50,-5,31,40,76,20,0,0
626,-27,-3,-2,-62,-68,2,0,0
627,1,-3,3,-13,5,2,0,0
628,10,15,52,15,-10,25,0,0
629,-14,-23,-10,-70,-40,-18,0,1
630,20,42,-35,-20,10,3,0,0
631,7,-7,8,70,60,15,0,0
632,-45,-90,55,-5,85,15,0,1
633,45,31,20,106,60,64,0,0
634,70,108,2,78,12,60,1,0
635,32,40,35,85,40,70,0,0
636,20,-10,10,25,20,-25,0,1
637,11,-11,-33,-60,-30,-2,0,1
638,0,25,0,55,0,40,0,0
639,-45,70,55,60,-5,73,0,0
640,-40,35,92,65,87,71,0,0
641,-25,35,45,70,75,115,0,0
642,-30,15,35,-65,-55,-60,0,1
643,25,-30,25,-70,30,-50,0,1
644,15,-32,-15,-55,-15,-60,-1,1
645,-8,14,-10,-20,-39,0,0,1
646,-15,-2,-40,7,-30,-15,0,1
647,-15,-30,-90,-55,-85,15,0,1
648,-19,20,0,-15,-10,45,0,0
649,5,-75,35,20,50,-10,0,1
650,-35,-145,-55,0,-30,-25,0,1
651,45,40,25,75,85,15,0,0
652,55,88,-167,88,-167,96,0,0
653,-40,-70,-125,-20,-5,10,0,0
654,-25,-10,-35,-45,20,5,0,0
655,-15,-10,2,-5,45,50,0,0
656,-85,-25,-43,-20,-15,3,-1,0
657,-14,-49,-25,50,5,-25,0,1
658,6,-5,-2,-2,3,-10,0,1
659,-29,-41,-11,7,-16,32,0,0
660,215,-35,-25,45,95,0,0,1
661,30,5,50,35,15,-85,0,1
662,8,-20,20,30,35,17,0,1
